url,nome,categoria,pagina,data_coleta
"https://www.paodeacucar.com/produto/381039/sorvete-chocolate-qualita-pote-1,5l","sorvete chocolate qualita pote 1,5l",Alimentos Congelados,2,2025-06-22T03:16:37.970210
"https://www.paodeacucar.com/produto/1616720/mini-sorvete-original-cobertura-chocolate-kibon-chicabon-caixa-106,5g","mini sorvete original cobertura chocolate kibon chicabon caixa 106,5g",Alimentos Congelados,2,2025-06-22T03:16:37.970215
https://www.paodeacucar.com/produto/1624643/bombom-de-sorvete-cioccolato-belga-bacio-di-latte-casa-pote-144g,bombom de sorvete cioccolato belga bacio di latte casa pote 144g,Alimentos Congelados,2,2025-06-22T03:16:37.970220
"https://www.paodeacucar.com/produto/315926/sorvete-napolitano-nestle-especialidades-pote-1,5l","sorvete napolitano nestle especialidades pote 1,5l",Alimentos Congelados,2,2025-06-22T03:16:37.970222
https://www.paodeacucar.com/produto/1590721/massa-folhada-laminada-congelada-arosa-caixa-300g,massa folhada laminada congelada arosa caixa 300g,Alimentos Congelados,2,2025-06-22T03:16:37.970225
https://www.paodeacucar.com/produto/50064/pizza-lombo-com-requeijao-e-mussarela-sadia-caixa-460g,pizza lombo com requeijao e mussarela sadia caixa 460g,Alimentos Congelados,2,2025-06-22T03:16:37.970228
https://www.paodeacucar.com/produto/622038/dadinho-de-tapioca-harus-300g,dadinho de tapioca harus 300g,Alimentos Congelados,2,2025-06-22T03:16:37.970230
https://www.paodeacucar.com/produto/43804/creme-de-leite-nestle-200g,creme de leite nestle 200g,Doces e Sobremesas,1,2025-06-22T03:17:05.958271
https://www.paodeacucar.com/produto/50670/leite-condensado-integral-moca-lata-395g,leite condensado integral moca lata 395g,Doces e Sobremesas,1,2025-06-22T03:17:05.958294
https://www.paodeacucar.com/produto/475544/bombom-nestle-especialidades-caixa-251g,bombom nestle especialidades caixa 251g,Doces e Sobremesas,1,2025-06-22T03:17:05.958301
